time,high,low,open,close,conversionType,conversionSymbol
1641898140,41732.34,41703.77,41727.47,41703.77,direct,
1641898200,41744.69,41698.57,41703.77,41741.09,direct,
1641898260,41744.45,41733.16,41741.09,41733.16,direct,
1641898320,41734.11,41706.04,41733.16,41712.01,direct,
1641898380,41727.62,41712.01,41712.01,41727.13,direct,
1641898440,41727.13,41706.0,41727.13,41706.0,direct,
1641898500,41711.53,41676.86,41706.0,41705.71,direct,
1641898560,41705.72,41656.86,41705.71,41664.81,direct,
1641898620,41670.82,41618.87,41664.81,41619.23,direct,
1641898680,41631.65,41596.4,41619.23,41610.13,direct,
1641898740,41640.1,41603.97,41610.13,41633.75,direct,
1641898800,41649.85,41606.62,41633.75,41638.83,direct,
1641898860,41681.15,41632.26,41638.83,41675.3,direct,
1641898920,41685.48,41659.37,41675.3,41682.64,direct,
1641898980,41686.47,41654.14,41682.64,41660.2,direct,
1641899040,41660.2,41629.64,41660.2,41631.98,direct,
1641899100,41663.32,41631.98,41631.98,41663.32,direct,
1641899160,41682.17,41639.8,41663.32,41682.17,direct,
1641899220,41733.4,41682.17,41682.17,41730.73,direct,
1641899280,41768.35,41717.91,41730.73,41746.61,direct,
1641899340,41759.04,41743.94,41746.61,41753.2,direct,
1641899400,41792.0,41753.19,41753.2,41786.06,direct,
1641899460,41826.33,41786.06,41786.06,41810.12,direct,
1641899520,41810.12,41787.48,41810.12,41790.81,direct,
1641899580,41791.12,41765.51,41790.81,41772.73,direct,
1641899640,41784.61,41765.53,41772.73,41777.52,direct,
1641899700,41792.33,41767.85,41777.52,41777.3,direct,
1641899760,41816.27,41775.75,41777.3,41806.81,direct,
1641899820,41809.76,41796.53,41806.81,41802.51,direct,
1641899880,41804.21,41786.69,41802.51,41792.65,direct,
1641899940,41793.62,41772.14,41792.65,41772.14,direct,
1641900000,41772.14,41723.48,41772.14,41732.21,direct,
1641900060,41738.22,41721.91,41732.21,41737.51,direct,
1641900120,41743.63,41728.79,41737.51,41741.8,direct,
1641900180,41778.58,41741.8,41741.8,41768.43,direct,
1641900240,41777.9,41755.97,41768.43,41772.65,direct,
1641900300,41804.5,41772.65,41772.65,41778.05,direct,
1641900360,41796.27,41775.29,41778.05,41795.31,direct,
1641900420,41795.89,41780.78,41795.31,41791.87,direct,
1641900480,41805.61,41775.78,41791.87,41778.11,direct,
1641900540,41809.07,41774.82,41778.11,41804.4,direct,
1641900600,41896.98,41804.4,41804.4,41891.35,direct,
1641900660,41903.3,41865.34,41891.35,41903.3,direct,
1641900720,41933.82,41894.7,41903.3,41913.31,direct,
1641900780,41913.31,41854.13,41913.31,41881.39,direct,
1641900840,41881.39,41844.33,41881.39,41847.22,direct,
1641900900,41866.4,41824.96,41847.22,41830.14,direct,
1641900960,41840.61,41811.1,41830.14,41826.73,direct,
1641901020,41832.95,41808.14,41826.73,41831.43,direct,
1641901080,41849.86,41817.38,41831.43,41838.67,direct,
1641901140,41864.96,41833.29,41838.67,41847.52,direct,
1641901200,41847.52,41825.66,41847.52,41829.47,direct,
1641901260,41837.88,41772.05,41829.47,41772.05,direct,
1641901320,41787.73,41749.1,41772.05,41769.29,direct,
1641901380,41796.08,41755.41,41769.29,41779.5,direct,
1641901440,41806.68,41778.76,41779.5,41794.89,direct,
1641901500,41824.21,41791.86,41794.89,41819.34,direct,
1641901560,41835.43,41815.66,41819.34,41832.89,direct,
1641901620,41850.01,41823.25,41832.89,41843.77,direct,
1641901680,41855.54,41843.77,41843.77,41853.53,direct,
1641901740,41880.43,41852.59,41853.53,41864.33,direct,
1641901800,41886.63,41861.42,41864.33,41861.42,direct,
1641901860,41864.59,41843.63,41861.42,41843.63,direct,
1641901920,41898.49,41842.83,41843.63,41895.16,direct,
1641901980,41907.95,41885.59,41895.16,41904.46,direct,
1641902040,41932.88,41894.03,41904.46,41916.99,direct,
1641902100,41917.16,41883.61,41916.99,41883.61,direct,
1641902160,41883.61,41858.47,41883.61,41867.53,direct,
1641902220,41888.01,41866.54,41867.53,41872.41,direct,
1641902280,41886.6,41871.49,41872.41,41876.44,direct,
1641902340,41893.44,41849.88,41876.44,41849.88,direct,
1641902400,41859.63,41820.75,41849.88,41820.75,direct,
1641902460,41825.56,41802.74,41820.75,41803.01,direct,
1641902520,41805.25,41788.13,41803.01,41788.13,direct,
1641902580,41794.28,41776.42,41788.13,41776.47,direct,
1641902640,41777.42,41747.24,41776.47,41747.24,direct,
1641902700,41760.18,41736.88,41747.24,41759.06,direct,
1641902760,41784.88,41757.33,41759.06,41782.86,direct,
1641902820,41831.66,41770.1,41782.86,41828.33,direct,
1641902880,41881.84,41817.95,41828.33,41876.89,direct,
1641902940,41892.14,41869.97,41876.89,41871.3,direct,
1641903000,41873.16,41828.54,41871.3,41830.36,direct,
1641903060,41880.01,41824.38,41830.36,41877.24,direct,
1641903120,41896.16,41876.54,41877.24,41893.77,direct,
1641903180,41913.88,41886.62,41893.77,41909.03,direct,
1641903240,41930.19,41904.79,41909.03,41906.44,direct,
1641903300,41912.36,41870.02,41906.44,41873.1,direct,
1641903360,41877.95,41855.08,41873.1,41868.23,direct,
1641903420,41870.72,41839.96,41868.23,41857.26,direct,
1641903480,41896.26,41853.97,41857.26,41891.57,direct,
1641903540,41903.05,41877.36,41891.57,41887.93,direct,
1641903600,41924.56,41887.93,41887.93,41924.56,direct,
1641903660,41960.57,41924.56,41924.56,41934.47,direct,
1641903720,41941.24,41910.75,41934.47,41912.22,direct,
1641903780,41915.78,41900.62,41912.22,41903.88,direct,
1641903840,41917.47,41896.54,41903.88,41914.88,direct,
1641903900,41915.61,41879.32,41914.88,41892.89,direct,
1641903960,41892.89,41860.12,41892.89,41861.79,direct,
1641904020,41881.76,41861.55,41861.79,41873.9,direct,
1641904080,41883.15,41869.62,41873.9,41870.72,direct,
1641904140,41904.75,41870.02,41870.72,41883.19,direct,
1641904200,41891.23,41859.19,41883.19,41867.68,direct,
1641904260,41867.68,41846.79,41867.68,41851.92,direct,
1641904320,41851.92,41825.96,41851.92,41825.96,direct,
1641904380,41835.05,41802.22,41823.84,41816.29,invert_divide,ETH
1641904440,41836.92,41813.06,41816.74,41826.78,direct,
1641904500,41877.96,41826.61,41826.78,41874.46,direct,
1641904560,41874.46,41840.41,41874.46,41843.43,direct,
1641904620,41863.77,41837.92,41843.43,41844.72,direct,
1641904680,41859.43,41831.68,41844.72,41858.77,direct,
1641904740,41882.85,41858.77,41858.77,41864.11,direct,
1641904800,41895.05,41864.11,41864.11,41895.05,direct,
1641904860,41937.42,41895.05,41895.05,41932.27,direct,
1641904920,41939.45,41923.37,41932.27,41926.16,direct,
1641904980,41929.81,41911.81,41926.16,41929.79,direct,
1641905040,41932.3,41903.22,41929.79,41905.99,direct,
1641905100,41918.73,41882.65,41905.99,41882.65,direct,
1641905160,41882.65,41863.49,41882.65,41867.33,direct,
1641905220,41867.83,41840.87,41867.33,41852.9,direct,
1641905280,41854.75,41843.61,41852.9,41854.07,direct,
1641905340,41900.86,41852.93,41854.07,41897.9,direct,
1641905400,41900.67,41879.37,41897.9,41881.21,direct,
1641905460,41899.34,41874.8,41881.21,41881.3,direct,
1641905520,41892.97,41879.76,41881.3,41884.64,direct,
1641905580,41887.05,41867.04,41884.64,41871.52,direct,
1641905640,41889.25,41861.56,41871.52,41886.46,direct,
1641905700,41900.91,41875.08,41886.46,41898.62,direct,
1641905760,41902.56,41875.27,41898.62,41876.97,direct,
1641905820,41878.04,41842.92,41876.97,41845.71,direct,
1641905880,41846.28,41820.59,41845.71,41834.23,direct,
1641905940,41844.38,41830.68,41834.23,41835.61,direct,
1641906000,41839.32,41808.36,41835.61,41829.76,direct,
1641906060,41869.44,41829.76,41829.76,41841.88,direct,
1641906120,41841.88,41795.92,41841.88,41804.35,direct,
1641906180,41817.8,41791.9,41804.35,41799.45,direct,
1641906240,41860.02,41799.02,41799.45,41846.65,direct,
1641906300,41883.59,41842.9,41846.65,41866.03,direct,
1641906360,41876.82,41860.12,41866.03,41874.98,direct,
1641906420,41879.04,41855.39,41874.98,41856.42,direct,
1641906480,41877.19,41854.3,41856.42,41876.19,direct,
1641906540,41885.62,41869.92,41876.19,41876.92,direct,
1641906600,41879.32,41866.42,41876.92,41870.91,direct,
1641906660,41870.91,41832.82,41870.91,41837.19,direct,
1641906720,41839.38,41813.87,41837.19,41828.15,direct,
1641906780,41852.49,41821.36,41828.15,41852.49,direct,
1641906840,41864.38,41846.35,41852.49,41863.99,direct,
1641906900,41877.15,41859.41,41863.99,41872.65,direct,
1641906960,41890.17,41865.23,41872.65,41883.1,direct,
1641907020,41885.71,41861.04,41883.1,41863.36,direct,
1641907080,41874.53,41861.7,41863.36,41873.09,direct,
1641907140,41884.0,41818.99,41873.09,41844.94,direct,
1641907200,41855.86,41844.94,41844.94,41848.01,direct,
1641907260,41848.03,41810.22,41848.01,41815.1,direct,
1641907320,41835.46,41815.09,41815.1,41825.96,direct,
1641907380,41850.3,41819.57,41825.96,41847.64,direct,
1641907440,41848.99,41837.81,41847.64,41838.99,direct,
1641907500,41847.36,41835.15,41838.99,41836.31,direct,
1641907560,41836.31,41795.13,41836.31,41796.12,direct,
1641907620,41796.12,41753.64,41796.12,41753.67,direct,
1641907680,41753.67,41718.18,41753.67,41732.95,direct,
1641907740,41741.9,41718.33,41732.95,41739.62,direct,
1641907800,41772.14,41738.39,41739.62,41765.24,direct,
1641907860,41783.56,41764.58,41765.24,41781.95,direct,
1641907920,41815.77,41769.5,41781.95,41807.06,direct,
1641907980,41808.62,41779.74,41807.06,41787.94,direct,
1641908040,41799.97,41771.14,41787.94,41790.11,direct,
1641908100,41792.45,41772.35,41790.11,41777.47,direct,
1641908160,41779.25,41721.88,41777.47,41723.55,direct,
1641908220,41723.87,41665.72,41723.55,41667.29,direct,
1641908280,41690.1,41659.73,41667.29,41664.63,direct,
1641908340,41675.72,41655.74,41664.63,41658.2,direct,
1641908400,41671.25,41642.5,41658.2,41645.21,direct,
1641908460,41666.66,41639.53,41645.21,41642.77,direct,
1641908520,41652.93,41627.41,41642.77,41652.93,direct,
1641908580,41657.77,41633.75,41652.93,41645.26,direct,
1641908640,41646.13,41600.85,41645.26,41602.42,direct,
1641908700,41667.48,41599.86,41602.42,41655.84,direct,
1641908760,41718.69,41654.55,41655.84,41681.68,direct,
1641908820,41699.74,41673.01,41681.68,41681.87,direct,
1641908880,41700.69,41681.15,41681.87,41687.35,direct,
1641908940,41698.0,41679.3,41687.35,41692.58,direct,
1641909000,41692.58,41664.75,41692.58,41672.66,direct,
1641909060,41673.33,41645.66,41672.66,41656.32,direct,
1641909120,41666.25,41624.6,41656.32,41627.2,direct,
1641909180,41651.22,41626.77,41627.2,41639.43,direct,
1641909240,41681.79,41635.6,41639.43,41678.44,direct,
1641909300,41696.01,41665.59,41678.44,41671.79,direct,
1641909360,41701.31,41658.93,41671.79,41701.31,direct,
1641909420,41704.05,41662.37,41701.31,41704.05,direct,
1641909480,41724.14,41704.05,41704.05,41715.55,direct,
1641909540,41719.92,41707.36,41715.55,41710.35,direct,
1641909600,41712.49,41665.99,41710.35,41679.25,direct,
1641909660,41736.01,41677.39,41679.25,41736.01,direct,
1641909720,41762.5,41726.64,41736.01,41757.27,direct,
1641909780,41784.86,41754.1,41757.27,41764.82,direct,
1641909840,41782.04,41760.76,41764.82,41772.48,direct,
1641909900,41774.85,41735.56,41772.48,41737.6,direct,
1641909960,41764.06,41737.6,41737.6,41761.14,direct,
1641910020,41783.33,41760.17,41761.14,41782.37,direct,
1641910080,41809.43,41782.37,41782.37,41809.43,direct,
1641910140,41821.65,41799.06,41809.43,41804.14,direct,
1641910200,41804.14,41773.91,41804.14,41774.59,direct,
1641910260,41775.66,41755.81,41774.59,41775.66,direct,
1641910320,41775.66,41738.21,41775.66,41738.38,direct,
1641910380,41740.82,41717.44,41738.38,41720.63,direct,
1641910440,41761.71,41719.0,41720.63,41761.71,direct,
1641910500,41762.48,41732.41,41761.71,41741.21,direct,
1641910560,41745.29,41715.46,41741.21,41725.98,direct,
1641910620,41733.82,41718.12,41725.98,41718.68,direct,
1641910680,41732.44,41718.41,41718.68,41720.15,direct,
1641910740,41720.15,41621.68,41720.15,41656.82,direct,
1641910800,41666.19,41570.14,41656.82,41604.66,direct,
1641910860,41617.8,41586.18,41604.66,41597.1,direct,
1641910920,41618.14,41560.83,41597.1,41562.96,direct,
1641910980,41596.59,41549.63,41562.96,41586.1,direct,
